"Issue Type","Summary","Priority","Story Points","Description","Labels"
"Story","EVX-201 Regulatory ingestion timestamping + normalization pipeline","Highest","8","Capture source_published_at and ingested_at; preserve version diff metadata; emit failure telemetry and alerts.","evx fr48 lane-now"
"Story","EVX-202 Regulatory freshness SLA monitor + breach alerts","Highest","5","Compute freshness latency and rolling 30-day metrics; alert on threshold breach by regulator source.","evx fr48 lane-now"
"Story","EVX-203 Decision Replay API","Highest","8","Replay chain for recommendation ID: input, evidence, rationale, confidence, routing, human actions, and challenge timeline.","evx fr49 lane-now"
"Story","EVX-205 Challenge SLA policy engine + escalations","Highest","5","Auto-apply SLA by priority; warning and breach escalations; monthly SLA trend reporting.","evx fr50 lane-now"
"Story","EVX-206 Cyber closure guardrail for critical incidents","Highest","5","Block critical incident closure unless linked to at least one risk and one control; log closure linkage evidence.","evx fr52 lane-now"
"Story","EVX-208 Regulator packet performance hardening","High","8","Generate Explainability Report + Audit Trail Pack in <=120 seconds p95 for standard scope.","evx fr54 lane-now"
"Story","EVX-204 Authorization explainability logging","Highest","8","Log allow/deny reason code, policy ID, delegation source, and context snapshot for every authorization event.","evx fr51 lane-next"
"Story","EVX-207 Pilot connectors pack (2 SIEM + 1 identity/HR)","High","8","Deliver baseline pilot connectors with mapping, retry behavior, and error telemetry.","evx fr53 lane-next"
"Story","EVX-SP-01 SecurePath connector auth + incremental sync framework","Highest","5","Create dedicated service identity and incremental sync using cursor/watermark semantics.","evx securepath lane-next"
"Story","EVX-SP-02 SecurePath canonical mapper for findings/remediation/evidence","Highest","8","Map source records to canonical schema with source traceability and raw payload retention.","evx securepath lane-next"
"Story","EVX-SP-03 SecurePath critical findings to CyberAlert + Incident linkage","Highest","8","Route high/critical findings into CyberAlert and enforce incident/risk/control linkage workflow.","evx securepath lane-next"
"Story","EVX-SP-04 Preserve SecurePath source trace in DecisionLog and AuditTrailEntry","Highest","5","Ensure recommendations, approvals, and challenges carry full source lineage for replay and audit.","evx securepath lane-next"
"Story","EVX-SP-05 Ingest latency and mapping coverage dashboard","High","3","Expose median/p95 ingest latency, mapping success percentage, and unresolved critical findings.","evx securepath lane-later"
"Story","EVX-SP-06 Schema drift detection + quarantine queue","High","5","Detect schema mismatch, quarantine impacted records safely, and raise drift alerts.","evx securepath lane-later"
"Story","EVX-SP-07 Optional bi-directional sync back to SecurePath","Medium","8","Support controlled write-back with role gating, auditability, and reconciliation fallback.","evx securepath lane-later"
